x,y,z,arc_length
0.0,0.0,0.0,0
-0.25885782,0.2917064,0.030991433,1
-0.26549518,0.29918608,0.031786084,2
-0.30531946,0.34406397,0.036553998,3
-0.5590567,0.63,0.06693237,4
-0.63,0.5500541,0.075425975,5
-0.37646154,0.26434204,0.10578056,6
-0.335359,0.21802369,0.11070151,7
-0.32846823,0.21025847,0.1115265,8
-0.28908715,0.16588001,0.11624134,9
0.17712963,-0.34745517,0.28758982,10
0.18409118,-0.3551203,0.29014838,11
0.22563341,-0.40086102,0.30541638,12
0.43374002,-0.63,0.3819017,13
0.63,-0.4139049,0.45403308,14
0.4214673,-0.18429679,0.530675,15
0.37657696,-0.13486956,0.54717356,16
0.36893108,-0.12645097,0.5499836,17
-0.09045645,0.37936476,0.7188221,18
-0.09810231,0.38778335,0.7216322,19
-0.14299268,0.4372106,0.73813075,20
-0.31808618,0.63,0.8024828,21
-0.63,0.28656247,0.91712034,22
-0.4511763,0.08966587,0.98284334,23
-0.39872488,0.031913448,1.0021209,24
-0.3893989,0.021644922,1.0055484,25
-0.015830252,-0.3896786,1.1428459,26
-0.0065042623,-0.3999471,1.1462735,27
0.04594713,-0.45769954,1.165551,28
0.20243235,-0.63,1.2230638,29
0.63,-0.15922005,1.3802077,30
0.4590871,0.028966242,1.4430232,31
0.38415322,0.11147334,1.4705637,32
0.36792928,0.12933697,1.4765264,33
0.16405438,0.35381657,1.5514565,34
0.14783043,0.3716802,1.5574192,35
0.072896555,0.45418727,1.5849596,36
-0.08677853,0.63,1.6436449,37
-0.63,0.031877622,1.8432949,38
-0.40786973,-0.21270233,1.9249344,39
-0.2508684,-0.38557106,1.9826369,40
-0.028875299,-0.63,2.064226,41
0.14761625,-0.43567124,2.129092,42
0.4478283,-0.10511817,2.2394288,43
0.63,0.09546481,2.3063822,44
0.14452913,0.63,2.484807,45
-0.009964822,0.45989206,2.5415883,46
-0.06995887,0.39383468,2.5636377,47
-0.08120478,0.3814522,2.567771,48
-0.38748527,0.04421736,2.6803381,49
-0.39873117,0.03183488,2.6844714,50
-0.4587252,-0.034222495,2.706521,51
-0.63,-0.22280724,2.7694695,52
-0.26018295,-0.63,2.905388,53
-0.09649221,-0.44976577,2.9655495,54
-0.048602656,-0.39703625,2.9831502,55
-0.04031474,-0.38791072,2.9861963,56
0.38225028,0.07736102,3.1415014,57
0.3905382,0.08648655,3.1445475,58
0.43842775,0.13921608,3.1621482,59
0.63,0.35014966,3.2325568,60
0.3758368,0.63,3.3259692,61
0.18583223,0.42079255,3.3958015,62
0.14295538,0.37358233,3.41156,63
0.13572486,0.36562106,3.4142175,64
-0.3509059,-0.17019123,3.5930686,65
-0.35813642,-0.1781525,3.595726,66
-0.40101326,-0.22536273,3.6114845,67
-0.63,-0.4774921,3.6956441,68
-0.4914906,-0.63,3.7465503,69
-0.26243424,-0.37779394,3.8307352,70
-0.22169842,-0.33294114,3.845707,71
-0.21489705,-0.3254524,3.8482068,72
0.07659096,-0.0045050276,3.955337,73
0.33295804,0.20307373,4.005499,74
0.3407973,0.20942111,4.007033,75
0.38777056,0.24745505,4.016224,76
0.63,0.44358665,4.063619,77
0.39977294,0.63,4.1086664,78
0.15610377,0.4327027,4.156344,79
0.10002109,0.3872929,4.167317,80
0.09028115,0.37940654,4.169223,81
-0.38988712,-0.00938258,4.2631745,82
-0.39962706,-0.017268943,4.26508,83
-0.45570976,-0.06267873,4.2760534,84
-0.63,-0.20380041,4.310156,85
-0.10362846,-0.63,4.413148,86
0.12919456,-0.44148472,4.458703,87
0.4049523,-0.21820548,4.5126586,88
0.63,-0.035985835,4.5566926,89
0.4458808,0.11309428,4.592718,90
0.3528363,0.1884318,4.6109233,91
0.3311724,0.20597292,4.6151624,92
0.13257718,0.36677417,4.6540203,93
0.11091326,0.3843153,4.658259,94
0.054455373,0.4300289,4.669306,95
0.0015728029,0.3999969,4.5812554,96
-0.016657172,0.38964412,4.5509024,97
-0.32610133,0.213911,4.0356736,98
-0.34433132,0.2035582,4.0053205,99
-0.43392286,0.15267923,3.8561497,100
-0.63,0.041327164,3.5296786,101
-0.45642397,-0.057246543,3.240672,102
-0.3883296,-0.095917284,3.127294,103
-0.37620717,-0.102801606,3.10711,104
0.104433894,-0.3757573,2.3068364,105
0.116556324,-0.38264164,2.2866523,106
0.18465069,-0.4213124,2.1732743,107
0.5521236,-0.63,1.561427,108
0.63,-0.58577406,1.4317619,109
0.2751472,-0.3842534,0.8409272,110
0.25174776,-0.3849975,0.8322351,111
0.08797657,-0.39020523,0.7713998,112
-0.0630077,-0.39500636,0.7153144,113
-0.2267789,-0.4002141,0.6544791,114
-0.63,-0.4130361,0.5046964,115
-0.37193623,-0.42124227,0.40883467,116
-0.2669792,-0.37459594,0.39186364,117
-0.20154375,-0.34551427,0.38128304,118
-0.19020332,-0.34047422,0.37944937,119
0.38017726,-0.08697847,0.28722164,120
0.39151767,-0.081938416,0.28538796,121
0.45695314,-0.05285677,0.27480736,122
0.53136015,-0.019787854,0.26277614,123
0.3334614,0.50590044,0.3590869,124
0.31805003,0.4898985,1.0312482,125
0.63,0.5291577,1.4097748,126
-0.17128423,0.63,2.3820696,127
-0.44860432,0.59509903,2.7185755,128
-0.63,-0.2641071,3.047706,129
-0.5527527,-0.63,3.1878662,130
-0.44463634,-0.11789194,3.384036,131
-0.35903656,0.28756344,3.5393512,132
-0.28674135,0.63,3.6705263,133
-0.24453588,0.43008786,3.7471051,134
-0.4832842,0.13745251,3.741391,135
-0.63,0.14977089,3.7162998,136
-0.42874423,0.1666685,3.6818812,137
-0.36096,0.17235972,3.6702888,138
-0.34936452,0.17333329,3.6683059,139
0.0055475333,0.203132,3.6076093,140
-0.036561616,-0.24539892,3.3810928,141
-0.08101507,-0.24222174,3.3101554,142
-0.13279799,-0.36669427,3.374717,143
-0.13664314,-0.37593704,3.3795109,144
-0.15971035,-0.43138453,3.4082706,145
-0.19153008,-0.50787085,3.4479427,146
-0.19016762,-0.5076663,3.4539678,147
-0.17743576,-0.42738736,3.501164,148
-0.17121883,-0.42694744,3.505807,149
0.22963354,-0.39858302,3.8051717,150
0.42551813,-0.3847222,3.9514625,151
0.602815,-0.63,3.849708,152
0.63,-0.59239143,3.834106,153
0.38441312,-0.25263914,3.6931586,154
0.34638938,-0.20003596,3.671336,155
0.33995354,-0.1911324,3.6676424,156
0.0457452,0.21588427,3.49879,157
0.3238746,0.21726769,3.4694371,158
0.33581087,0.21732707,3.4681776,159
0.4052391,0.21767241,3.4608502,160
0.63,0.21879038,3.43713,161
0.4040268,0.21991438,3.4132814,162
0.33389238,0.22026323,3.4058797,163
0.3218037,0.22032335,3.404604,164
-0.31959602,0.22351371,3.336913,165
-0.3316847,0.22357383,3.3356373,166
-0.40181914,0.22392268,3.3282356,167
-0.63,0.22505768,3.3041542,168
-0.40644875,0.22616962,3.2805614,169
-0.10947672,0.63,3.1422522,170
0.015737265,0.4597307,3.0839362,171
0.0633784,0.39494705,3.0617483,172
0.07193767,0.38330793,3.057762,173
0.38732862,-0.045568984,2.9108744,174
0.3958879,-0.05720811,2.9068882,175
0.44352904,-0.121991776,2.8847,176
0.63,-0.3755599,2.7978547,177
0.50800127,-0.541457,2.7410362,178
0.4380111,-0.63,2.713714,179
0.2468446,-0.38815942,2.6390874,180
0.20941126,-0.34080335,2.6244745,181
0.20316555,-0.332902,2.6220362,182
-0.27699688,0.27454096,2.4345934,183
-0.28324258,0.28244227,2.4321554,184
-0.3206759,0.32979837,2.4175425,185
-0.5579748,0.63,2.324907,186
-0.63,0.5388825,2.2967904,187
-0.58062077,0.47641394,2.277514,188
-0.42470285,0.39480463,2.343323,189
-0.36495203,0.28001788,2.3576372,190
-0.33386728,0.22030124,2.365084,191
-0.32856274,0.21011074,2.3663547,192
-0.01636128,-0.38965666,2.441147,193
-0.01105674,-0.39984715,2.4424179,194
0.020028014,-0.4595638,2.4498649,195
0.05476277,-0.52629244,2.458186,196
0.021595117,-0.63,2.374813,197
-0.03315678,-0.45880347,2.2371843,198
-0.05309526,-0.39646044,2.1870651,199
-0.05647616,-0.38588917,2.1785667,200
-0.26992032,0.28150138,1.6420358,201
-0.2733012,0.29207268,1.6335373,202
-0.29323968,0.35441568,1.5834184,203
-0.38137677,0.63,1.3618697,204
-0.63,-0.14738739,0.73690987,205
-0.51807487,-0.49735135,0.4555657,206
-0.52916867,-0.36448157,0.45925355,207
-0.63,-0.37080553,0.435809,208
-0.62268907,-0.37126407,0.4341091,209
-0.63,-0.36641946,0.43517247,210
-0.4053148,-0.21753141,0.4678528,211
-0.3550513,-0.18422423,0.47516358,212
-0.34666657,-0.17866807,0.47638315,213
0.16025479,0.15724428,0.5501145,214
0.3694763,0.12484902,0.5179369,215
0.38057715,0.123130195,0.5162296,216
0.44590074,0.11301568,0.5061831,217
0.46845454,0.10952351,0.50271434,218
0.63,0.55879486,-0.03090607,219
0.60439664,0.63,-0.1154797,220
0.4333487,0.1543014,-0.68048894,221
0.39659446,0.052084867,-0.8018963,222
0.3888105,0.030436974,-0.8276085,223
0.2803985,-0.27106586,-1.1857173,224
0.2726145,-0.29271373,-1.2114296,225
0.23586027,-0.39493027,-1.3328369,226
0.15133576,-0.63,-1.6120402,227
0.08720883,-0.45165762,-1.8238657,228
0.06662502,-0.39441237,-1.8918585,229
0.06318575,-0.38484746,-1.9032191,230
-0.16060045,0.23752064,-2.6424346,231
-0.050180078,0.38675827,-2.6626484,232
-0.042020135,0.39778677,-2.6641424,233
0.0039983527,0.45998263,-2.6725667,234
0.12979358,0.63,-2.6955953,235
0.3603233,0.31842968,-2.7377968,236
0.4191674,0.27244025,-2.7627583,237
0.40575796,0.21670365,-2.8385675,238
0.38209337,0.11834123,-2.972354,239
0.3773373,0.098572545,-2.999242,240
0.29121056,-0.25941554,-3.4861546,241
0.2864545,-0.27918422,-3.5130427,242
0.2627899,-0.37754664,-3.6468291,243
0.23368715,-0.49851298,-3.81136,244
0.19873136,-0.49357423,-3.828744,245
-0.0438582,-0.46157146,-3.8217945,246
-0.63,-0.37742355,-3.430136,247
-0.31777012,-0.3325991,-3.2215047,248
-0.23838785,-0.32120278,-3.1684618,249
-0.22413974,-0.3191573,-3.1589413,250
0.30487463,-0.24321075,-2.805455,251
0.31912273,-0.24116525,-2.7959344,252
0.398505,-0.22976896,-2.7428916,253
0.63,-0.19653499,-2.588207,254
0.6010375,-0.19237706,-2.5688543,255
0.26723102,-0.49178693,-2.8370578,256
0.63,-0.45626616,-3.272655,257
0.30857474,-0.4247936,-3.6586084,258
0.48681247,-0.40284812,-4.045062,259
0.40339538,-0.22107048,-4.2994523,260
0.37079656,-0.15003303,-4.398866,261
0.36499685,-0.13739465,-4.416553,262
0.13384752,0.3663125,-5.1214705,263
0.12804782,0.37895086,-5.1391573,264
0.09544899,0.44998834,-5.238571,265
0.08894616,0.46415892,-5.2584023,266
0.12744252,0.44199365,-5.254124,267
0.31827205,0.3321188,-5.2329164,268
0.46603414,0.24704109,-5.216495,269
0.63,-0.26502082,-5.9949317,270
0.62418723,-0.28317395,-6.022528,271
0.62379116,-0.30753085,-6.0037003,272
0.56143814,-0.5068077,-6.0267415,273
0.63,-0.48082975,-6.129058,274
0.5444804,-0.44842654,-6.2566805,275
0.4849947,-0.4760635,-6.2896743,276
0.054455373,0.4300289,4.669306,277
0.0015728029,0.3999969,4.5812554,278
-0.016657172,0.38964412,4.5509024,279
-0.32610133,0.213911,4.0356736,280
-0.34433132,0.2035582,4.0053205,281
-0.43392286,0.15267923,3.8561497,282
-0.5428979,0.09079241,3.6747048,283
-0.63,0.056258813,3.415758,284
-0.6253495,0.054415032,3.4019325,285
-0.63,0.060290474,3.3861873,286
-0.51879793,0.20078446,3.0096881,287
-0.5067637,0.15326107,2.7909613,288
-0.63,0.015003892,2.4671142,289
-0.2300499,-0.4336948,1.4161037,290
-0.072564185,-0.63,1.441869,291
0.06785533,-0.45496774,1.4648422,292
0.1291363,-0.37858132,1.474868,293
0.14120266,-0.36354065,1.4768422,294
0.38550925,-0.05901366,1.5168117,295
0.39757562,-0.043972995,1.5187858,296
0.45885658,0.032413434,1.5288116,297
0.63,0.24574287,1.5568113,298
0.6065789,0.2749372,1.5606432,299
0.07541752,0.52742714,1.2025234,300
-0.34220943,0.42705065,0.6542016,301
-0.63,0.5888476,0.22542393,302
-0.55680156,0.63,0.116365984,303
-0.185187,0.42107692,-0.43730065,304
-0.11672833,0.3825892,-0.53929687,305
-0.10452921,0.3757308,-0.5574723,306
0.37533242,0.105950855,-1.2724156,307
0.38753152,0.09909247,-1.290591,308
0.4559902,0.060604747,-1.3925873,309
0.63,-0.0372242,-1.6518435,310
0.43614516,-0.1462101,-1.9406669,311
0.34919763,-0.19509232,-2.0702095,312
0.33188233,-0.20482704,-2.0960076,313
0.0025270153,-0.38999182,-2.5867124,314
-0.014788288,-0.39972654,-2.6125102,315
-0.10173582,-0.44860876,-2.742053,316
-0.4243791,-0.63,-3.2227576,317
-0.63,-0.5143992,-3.5291111,318
-0.558634,-0.47427696,-3.635439,319
-0.46477857,-0.42144552,-3.8560808,320
-0.4650322,-0.40114132,-3.8474941,321
-0.61827475,-0.105497316,-3.7231865,322
-0.45560223,0.0634556,-3.7697122,323
-0.36972952,0.15264365,-3.7942727,324
-0.34888867,0.1742891,-3.8002334,325
-0.18737407,0.3420394,-3.8464277,326
-0.16653322,0.36368486,-3.8523884,327
-0.080660515,0.45287293,-3.8769488,328
-0.041827623,0.49320507,-3.8880553,329
0.03054881,0.52193296,-3.904444,330
0.17014377,0.5428886,-3.964394,331
0.25111318,0.6162704,-4.0786214,332
0.42676187,0.58589876,-4.240774,333
0.63,0.463069,-4.355091,334
0.39349687,0.3201351,-4.4881196,335
0.33672878,0.3133907,-4.5135913,336
0.25969055,0.30423808,-4.5481586,337
0.24601816,0.30261374,-4.5542936,338
-0.31007367,0.23654667,-4.8038135,339
-0.32374606,0.23492229,-4.8099484,340
-0.40078428,0.22576968,-4.8445153,341
-0.63,0.19853748,-4.9473653,342
-0.4257124,0.17426687,-5.0390296,343
-0.36352643,0.1668788,-5.0669327,344
-0.35307822,0.1656375,-5.071621,345
0.3820593,0.07829871,-5.401479,346
0.39250752,0.0770574,-5.406167,347
0.4546935,0.06966933,-5.43407,348
0.5526478,0.05803176,-5.4780226,349
0.63,0.14494412,-5.5071597,350
0.44145438,0.35679266,-5.578182,351
0.42705354,0.35914353,-5.5851483,352
