x,y,z,arc_length
-0.011548928,-0.17020807,-3.4603558,0
-0.017393585,-0.20937984,-4.10236,1
-0.023238244,-0.2485516,-4.7443643,2
-0.029082902,-0.28772336,-5.3863688,3
-0.03492756,-0.32689512,-6.0283732,4
-0.040772215,-0.3660669,-6.670377,5
-0.045973696,-0.3999502,-7.1809444,6
-0.050633248,-0.42937747,-7.580764,7
-0.05529279,-0.4588047,-7.980582,8
-0.059952345,-0.488232,-8.380403,9
-0.06461189,-0.5176592,-8.780221,10
-0.069098845,-0.5455877,-9.15839,11
-0.07173812,-0.55747104,-9.304765,12
-0.07437739,-0.56935436,-9.451139,13
-0.07701665,-0.5812377,-9.597514,14
-0.079655915,-0.593121,-9.74389,15
-0.08229518,-0.6050043,-9.8902645,16
-0.08425847,-0.61130154,-9.967966,17
-0.08582156,-0.6142918,-10.005013,18
-0.087384656,-0.61728203,-10.042059,19
-0.08894774,-0.6202723,-10.079105,20
-0.09051084,-0.6232625,-10.116154,21
-0.09189942,-0.6258455,-10.148237,22
-0.09244102,-0.6264519,-10.156236,23
-0.09298263,-0.62705827,-10.164232,24
-0.09352424,-0.6276647,-10.172232,25
-0.09406585,-0.6282711,-10.180228,26
-0.09460746,-0.6288774,-10.188227,27
-0.094315834,-0.6291402,-10.191768,28
-0.093689755,-0.629265,-10.19352,29
-0.09306368,-0.6293899,-10.195272,30
-0.09243761,-0.6295147,-10.197024,31
-0.09181154,-0.6296395,-10.198776,32
-0.09160081,-0.62974006,-10.2001915,33
-0.09259546,-0.6297699,-10.200623,34
-0.09359009,-0.6297998,-10.201054,35
-0.09458474,-0.62982965,-10.201485,36
-0.09557937,-0.6298595,-10.201917,37
-0.09657401,-0.6298894,-10.202347,38
-0.09756741,-0.6299027,-10.202539,39
-0.0985605,-0.6299119,-10.202673,40
-0.0995536,-0.6299211,-10.202807,41
-0.10054669,-0.6299303,-10.202941,42
-0.101539776,-0.6299395,-10.203075,43
-0.1025481,-0.6299467,-10.20318,44
-0.10358575,-0.6299502,-10.203232,45
-0.10462339,-0.6299537,-10.203282,46
-0.10566104,-0.62995714,-10.203334,47
-0.10669869,-0.62996066,-10.203385,48
-0.10773635,-0.6299641,-10.203435,49
-0.10877946,-0.62996596,-10.203462,50
-0.10982328,-0.6299676,-10.203485,51
-0.1108671,-0.6299692,-10.203508,52
-0.111910924,-0.6299708,-10.203531,53
-0.11295474,-0.6299724,-10.203555,54
-0.11397821,-0.62997365,-10.203573,55
-0.11497439,-0.6299745,-10.203584,56
-0.11597054,-0.6299753,-10.203595,57
-0.11696672,-0.6299761,-10.203608,58
-0.11796288,-0.62997687,-10.203618,59
-0.11895905,-0.6299777,-10.20363,60
-0.11983301,-0.6299781,-10.203637,61
-0.12070315,-0.62997866,-10.203644,62
-0.1215733,-0.6299791,-10.2036495,63
-0.12244345,-0.62997955,-10.203655,64
-0.1233136,-0.62998,-10.203664,65
-0.124166004,-0.6299803,-10.203669,66
-0.12500152,-0.62998056,-10.203672,67
-0.12583704,-0.62998086,-10.203677,68
-0.12667255,-0.6299811,-10.20368,69
-0.12750809,-0.6299814,-10.203687,70
-0.12833486,-0.62998164,-10.20369,71
-0.12901257,-0.6299819,-10.203692,72
-0.12969026,-0.62998205,-10.203694,73
-0.13036793,-0.62998223,-10.203697,74
-0.13104564,-0.6299824,-10.203699,75
-0.13172331,-0.62998265,-10.203702,76
-0.13236064,-0.6299828,-10.203704,77
-0.1329708,-0.62998295,-10.203706,78
-0.13358097,-0.629983,-10.203707,79
-0.13419113,-0.6299831,-10.20371,80
-0.1348013,-0.62998325,-10.2037115,81
-0.13539958,-0.6299833,-10.203712,82
-0.13592546,-0.6299834,-10.203712,83
-0.13645132,-0.6299835,-10.203714,84
-0.1369772,-0.62998354,-10.203715,85
-0.13750306,-0.62998366,-10.203716,86
-0.13802892,-0.6299837,-10.203716,87
-0.13841042,-0.62998384,-10.203717,88
-0.13872503,-0.6299839,-10.203719,89
-0.13903965,-0.62998396,-10.20372,90
-0.13935424,-0.629984,-10.20372,91
-0.13966885,-0.6299841,-10.203721,92
-0.13997771,-0.62998414,-10.203721,93
-0.14026688,-0.6299842,-10.203722,94
-0.14055605,-0.6299842,-10.203722,95
-0.14084524,-0.6299843,-10.203725,96
-0.1411344,-0.6299843,-10.203725,97
-0.14142357,-0.6299844,-10.203725,98
-0.141804,-0.62998444,-10.203726,99
-0.14221187,-0.62998444,-10.203726,100
-0.14261973,-0.62998444,-10.203726,101
-0.1430276,-0.62998444,-10.203726,102
-0.14343546,-0.6299845,-10.203727,103
-0.14381087,-0.62998456,-10.203727,104
-0.14411448,-0.62998456,-10.203727,105
-0.1444181,-0.6299846,-10.203729,106
-0.14472172,-0.6299846,-10.203729,107
-0.14502534,-0.6299847,-10.203729,108
-0.14532895,-0.6299847,-10.20373,109
-0.14545771,-0.62998474,-10.203729,110
-0.14555664,-0.62998474,-10.203729,111
-0.14565556,-0.62998474,-10.203729,112
-0.14575449,-0.6299848,-10.203729,113
-0.14585342,-0.62998486,-10.20373,114
-0.14592253,-0.62998486,-10.20373,115
-0.14594635,-0.62998486,-10.20373,116
-0.1459702,-0.62998486,-10.203731,117
-0.14599402,-0.62998486,-10.203731,118
-0.14601785,-0.62998486,-10.203731,119
-0.14604168,-0.62998486,-10.203732,120
-0.14607295,-0.6299849,-10.203732,121
-0.14610468,-0.6299849,-10.203731,122
-0.14613643,-0.629985,-10.203732,123
-0.14616819,-0.62998503,-10.203732,124
-0.14619991,-0.62998503,-10.203733,125
-0.14612329,-0.62998503,-10.203732,126
-0.14593041,-0.62998503,-10.203732,127
-0.14573753,-0.6299851,-10.203733,128
-0.14554465,-0.6299851,-10.203733,129
-0.14535177,-0.62998515,-10.203733,130
-0.14516683,-0.62998515,-10.203734,131
-0.14529012,-0.62998515,-10.203733,132
-0.14541344,-0.6299852,-10.203734,133
-0.14553672,-0.62998515,-10.203733,134
-0.14566003,-0.6299852,-10.203734,135
-0.14578333,-0.6299852,-10.203735,136
-0.14588724,-0.6299852,-10.203734,137
-0.14597642,-0.6299852,-10.203734,138
-0.1460656,-0.6299852,-10.203734,139
-0.14615478,-0.6299852,-10.203735,140
-0.14624396,-0.6299852,-10.203735,141
-0.14633912,-0.6299852,-10.203735,142
-0.1464825,-0.6299852,-10.203735,143
-0.1466259,-0.6299853,-10.203735,144
-0.1467693,-0.6299853,-10.203736,145
-0.14691268,-0.6299853,-10.203735,146
-0.14705607,-0.6299853,-10.203736,147
-0.14730598,-0.62998533,-10.203736,148
-0.14761244,-0.62998533,-10.203736,149
-0.14791888,-0.62998533,-10.203736,150
-0.14822534,-0.62998533,-10.203735,151
-0.14853178,-0.62998533,-10.203735,152
-0.1488078,-0.62998533,-10.203735,153
-0.14895894,-0.6299853,-10.203734,154
-0.14911008,-0.6299853,-10.203735,155
-0.14926122,-0.6299852,-10.203735,156
-0.14941236,-0.6299852,-10.203735,157
-0.1495635,-0.6299852,-10.203735,158
-0.14969902,-0.6299852,-10.203735,159
-0.149829,-0.6299852,-10.203735,160
-0.14995898,-0.6299852,-10.203734,161
-0.15008897,-0.6299852,-10.203734,162
-0.15021895,-0.6299853,-10.203734,163
-0.15030955,-0.6299853,-10.203734,164
-0.15029955,-0.6299853,-10.203734,165
-0.15028957,-0.6299853,-10.203734,166
-0.15027958,-0.6299853,-10.203735,167
-0.15026958,-0.6299853,-10.203735,168
-0.1502596,-0.62998533,-10.203735,169
-0.15017736,-0.6299853,-10.203735,170
-0.15007971,-0.6299853,-10.203735,171
-0.14998206,-0.62998533,-10.203735,172
-0.1498844,-0.62998533,-10.203735,173
-0.14978677,-0.62998533,-10.203734,174
-0.14969213,-0.62998533,-10.203735,175
-0.14960273,-0.6299854,-10.203735,176
-0.14951329,-0.6299854,-10.203735,177
-0.14942385,-0.62998533,-10.203736,178
-0.14933445,-0.62998545,-10.203736,179
-0.14924502,-0.6299854,-10.203738,180
-0.14912128,-0.6299854,-10.203736,181
-0.14899413,-0.62998533,-10.203736,182
-0.14886698,-0.62998545,-10.203736,183
-0.14873983,-0.62998533,-10.203738,184
-0.14861268,-0.6299854,-10.203738,185
-0.14850457,-0.6299854,-10.203738,186
-0.14841951,-0.62998545,-10.203738,187
-0.14833446,-0.6299854,-10.203739,188
-0.1482494,-0.6299854,-10.203739,189
-0.14816435,-0.6299854,-10.203739,190
-0.14807928,-0.62998533,-10.203739,191
-0.1474013,-0.62998545,-10.20374,192
-0.14672032,-0.6299854,-10.203739,193
-0.14603935,-0.62998545,-10.203739,194
-0.14535837,-0.6299855,-10.20374,195
-0.14467739,-0.62998545,-10.203739,196
-0.14429502,-0.62998545,-10.203739,197
-0.1441694,-0.6299855,-10.203739,198
-0.14404377,-0.6299855,-10.203739,199
-0.14391817,-0.6299855,-10.203739,200
-0.14379254,-0.6299856,-10.203739,201
-0.14367092,-0.6299856,-10.203739,202
-0.14359483,-0.6299856,-10.20374,203
-0.14351878,-0.62998563,-10.203739,204
-0.1434427,-0.62998563,-10.203739,205
-0.14336663,-0.62998563,-10.203739,206
-0.14329056,-0.62998563,-10.20374,207
-0.14324903,-0.6299857,-10.20374,208
-0.14322841,-0.6299857,-10.203739,209
-0.14320779,-0.62998575,-10.20374,210
-0.14318717,-0.62998575,-10.20374,211
-0.14316654,-0.62998575,-10.203741,212
-0.14317574,-0.62998575,-10.203741,213
-0.14333494,-0.62998575,-10.203741,214
-0.14349416,-0.62998575,-10.203741,215
-0.1436534,-0.6299857,-10.203741,216
-0.1438126,-0.62998563,-10.203743,217
-0.14397182,-0.62998563,-10.203743,218
-0.14427118,-0.6299857,-10.203743,219
-0.14462817,-0.6299857,-10.203743,220
-0.14498515,-0.6299857,-10.203743,221
-0.14534216,-0.62998563,-10.203743,222
-0.14569916,-0.62998563,-10.203741,223
-0.14599547,-0.62998563,-10.203741,224
-0.14611103,-0.62998563,-10.203741,225
-0.14622658,-0.6299857,-10.203741,226
-0.14634214,-0.62998563,-10.203741,227
-0.1464577,-0.62998563,-10.203741,228
-0.14657326,-0.6299857,-10.203741,229
-0.14659853,-0.62998563,-10.203741,230
-0.1466004,-0.62998563,-10.203741,231
-0.14660224,-0.62998563,-10.203741,232
-0.14660409,-0.6299856,-10.20374,233
-0.14660594,-0.6299856,-10.20374,234
-0.14659761,-0.62998563,-10.203741,235
-0.14656922,-0.6299856,-10.203741,236
-0.14654082,-0.6299856,-10.203741,237
-0.14651245,-0.6299856,-10.203743,238
